[DEBUG] 2020-04-09 16:29:09.812 [main] Main - Program starting.
[DEBUG] 2020-04-09 16:29:44.449 [main] SBClient - Added discard_A
[DEBUG] 2020-04-09 16:30:42.452 [main] SBClient - Added discard_A
[DEBUG] 2020-04-09 16:36:48.025 [main] SBClient - Added discard_A
[DEBUG] 2020-04-09 16:47:13.540 [main] SBClient - Added discard_A
[DEBUG] 2020-04-09 16:59:36.899 [main] SBClient - Added discard_A
[DEBUG] 2020-04-09 17:23:39.304 [main] SBClient - Added discard_A
[DEBUG] 2020-04-09 17:23:53.605 [main] SBClient - Added discard_A
[DEBUG] 2020-04-09 17:28:28.836 [main] SBClient - Added discard_A
[DEBUG] 2020-04-09 17:31:01.179 [main] SBClient - Added discard_A
[DEBUG] 2020-04-09 17:32:03.749 [main] SBClient - Added discard_A
[DEBUG] 2020-04-09 17:33:25.159 [main] SBClient - Added discard_A
[DEBUG] 2020-04-09 17:34:18.554 [main] SBClient - Added discard_A
[DEBUG] 2020-04-09 17:34:44.079 [main] SBClient - Added discard_A
[DEBUG] 2020-04-09 17:35:48.516 [main] SBClient - Added discard_A
[DEBUG] 2020-04-09 17:37:35.912 [main] SBClient - Added discard_A
[DEBUG] 2020-04-09 17:38:54.849 [main] SBClient - Added discard_A
[DEBUG] 2020-04-09 17:39:11.062 [main] SBClient - Added discard_A
[DEBUG] 2020-04-09 17:39:30.158 [main] SBClient - Added discard_A
[DEBUG] 2020-04-09 17:41:56.728 [main] SBClient - Added discard_A
[DEBUG] 2020-04-09 17:48:13.851 [main] SBClient - Added discard_A
[DEBUG] 2020-04-09 18:14:20.225 [main] SBClient - Added discard_A
[DEBUG] 2020-04-09 18:18:50.977 [main] SBClient - Added discard_A
[DEBUG] 2020-04-09 18:21:00.057 [main] SBClient - Added discard_A
[DEBUG] 2020-04-09 18:23:19.626 [main] SBClient - Added discard_A
[DEBUG] 2020-04-09 18:24:39.187 [main] SBClient - Added discard_A
[DEBUG] 2020-04-09 18:25:07.310 [main] SBClient - Added discard_A
[DEBUG] 2020-04-09 18:25:46.857 [main] SBClient - Added discard_A
[DEBUG] 2020-04-09 18:27:18.662 [main] SBClient - Added discard_A
[DEBUG] 2020-04-09 18:28:15.906 [main] SBClient - Added discard_A
[DEBUG] 2020-04-09 18:29:16.812 [main] SBClient - Added discard_A
[DEBUG] 2020-04-09 18:29:40.236 [main] SBClient - Added discard_A
[DEBUG] 2020-04-09 18:35:11.531 [main] SBClient - Added discard_A
[DEBUG] 2020-04-09 18:36:59.331 [main] SBClient - Added discard_A
[DEBUG] 2020-04-09 18:37:47.145 [main] SBClient - Added discard_A
[DEBUG] 2020-04-09 18:38:23.745 [main] SBClient - Added discard_A
[DEBUG] 2020-04-09 18:38:38.314 [main] SBClient - Added discard_A
[DEBUG] 2020-04-09 18:40:26.623 [main] SBClient - Added discard_A
[DEBUG] 2020-04-09 18:41:28.765 [main] SBClient - Added discard_A
[DEBUG] 2020-04-09 18:42:36.614 [main] SBClient - Added discard_A
[DEBUG] 2020-04-09 18:46:15.844 [main] SBClient - Added discard_A
[DEBUG] 2020-04-09 18:47:49.689 [main] SBClient - Added discard_A
[DEBUG] 2020-04-09 18:48:50.278 [main] SBClient - Added discard_A
[DEBUG] 2020-04-09 18:50:09.108 [main] SBClient - Added discard_A
[DEBUG] 2020-04-09 18:52:31.263 [main] SBClient - Added discard_A
[DEBUG] 2020-04-09 18:53:11.243 [main] SBClient - Added discard_A
[DEBUG] 2020-04-09 18:56:31.952 [main] SBClient - Added discard_A
[DEBUG] 2020-04-09 18:58:48.322 [main] SBClient - Added discard_A
[DEBUG] 2020-04-09 18:59:37.173 [main] SBClient - Added discard_A
[DEBUG] 2020-04-09 19:01:14.787 [main] SBClient - Added discard_A
[DEBUG] 2020-04-09 19:02:16.271 [main] SBClient - Added discard_A
[DEBUG] 2020-04-09 19:03:18.096 [main] SBClient - Added discard_A
[DEBUG] 2020-04-09 19:05:35.651 [main] SBClient - Added discard_A
[DEBUG] 2020-04-09 19:06:18.483 [main] SBClient - Added discard_A
